UniprotAccession,proteinAtLocation,total,unique
O00400,SLC33A1 S113R [Golgi membrane],2,2
O00400,SLC33A1 A110P [Golgi membrane],2,2
O00401,p-Y256-WASL [cytosol],1,1
O00418,p-S366-EEF2K [cytosol],1,1
O00459,K63polyUb-PIK3R2 [cytosol],1,1
O00468,XylS-AGRN(30-2045) [Golgi lumen],1,1
O00468,Heparan-AGRN [Golgi lumen],1,1
O00468,Heparan(4)-AGRN [Golgi lumen],1,1
O00468,Heparan(3)-AGRN [Golgi lumen],1,1
O00468,Heparan(2)-AGRN [Golgi lumen],1,1
O00468,Heparan(1)-AGRN [Golgi lumen],1,1
O00468,HS(6)-AGRN [plasma membrane],1,1
O00468,HS(6)-AGRN [lysosomal lumen],1,1
O00468,HS(6)-AGRN [Golgi lumen],1,1
O00468,HS(5)-AGRN [plasma membrane],1,1
O00468,HS(5)-AGRN [Golgi lumen],1,1
O00468,HS(4)-AGRN [plasma membrane],1,1
O00468,HS(4)-AGRN [Golgi lumen],1,1
O00468,HS(3)-AGRN [plasma membrane],1,1
O00468,HS(3)-AGRN [Golgi lumen],1,1
O00468,HS(2)-AGRN [plasma membrane],1,1
O00468,HS(2)-AGRN [Golgi lumen],1,1
O00468,HS(1)-AGRN [plasma membrane],1,1
O00468,HS(1)-AGRN [Golgi lumen],1,1
O00468,GlcA-Gal-Gal-Xyl-AGRN [Golgi lumen],1,1
O00468,Gal-Xyl-AGRN [Golgi lumen],1,1
O00468,Gal-Gal-Xyl-AGRN [Golgi lumen],1,1
O00716,p-E2F3 [nucleoplasm],1,1
O00744,N4GlycoAsn-WNT10B [endoplasmic reticulum lumen],1,1
O00744,N4GlycoAsn-PalmS WNT10B [plasma membrane],2,2
O00744,N4GlycoAsn-PalmS WNT10B [extracellular region],2,2
O00744,N4GlycoAsn-PalmS WNT10B [extracellular exosome],2,2
O00744,N4GlycoAsn-PalmS WNT10B [endoplasmic reticulum lumen],2,2
O00744,N4GlycoAsn-PalmS WNT10B [endocytic vesicle membrane],2,2
O00744,N4GlycoAsn-PalmS WNT10B [Golgi lumen],2,2
O00755,N4GlycoAsn-WNT7A [endoplasmic reticulum lumen],1,1
O00755,N4GlycoAsn-PalmS WNT7A [plasma membrane],2,2
O00755,N4GlycoAsn-PalmS WNT7A [extracellular region],2,2
O00755,N4GlycoAsn-PalmS WNT7A [extracellular exosome],2,2
O00755,N4GlycoAsn-PalmS WNT7A [endoplasmic reticulum lumen],2,2
O00755,N4GlycoAsn-PalmS WNT7A [endocytic vesicle membrane],2,2
O00755,N4GlycoAsn-PalmS WNT7A [Golgi lumen],2,2
O00762,Ub-C114-UBE2C [nucleoplasm],1,1
O00762,Ub-C114-UBE2C [cytosol],1,1
O00763,Btn-p-S79-ACACB [mitochondrial outer membrane],2,2
O00763,Btn-ACACB [mitochondrial outer membrane],1,1
O14492,p-Y629-SH2B2 [cytosol],1,1
O14531,p-Y-DPYSL4 [cytosol],1,1
O14531,p-S544-DPYSL4 [cytosol],1,1
O14561,PPANT-S112-NDUFAB1 [mitochondrial inner membrane],1,1
O14561,Mal-PPANT-S112-NDUFAB1 [mitochondrial inner membrane],1,1
O14594,dermatan-NCAN [Golgi lumen],1,1
O14594,chondroitin(3)-NCAN [Golgi lumen],1,1
O14594,chondroitin(2)-NCAN [Golgi lumen],1,1
O14594,chondroitin(1)-NCAN [Golgi lumen],1,1
O14594,XylS-NCAN [Golgi lumen],1,1
O14594,GlcA-Gal-Gal-Xyl-NCAN [Golgi lumen],1,1
O14594,Gal-Xyl-NCAN [Golgi lumen],1,1
O14594,Gal-Gal-Xyl-NCAN [Golgi lumen],1,1
O14594,D4S-NCAN [lysosomal lumen],1,1
O14594,D4S-NCAN [extracellular region],1,1
O14594,D4S-NCAN [Golgi lumen],1,1
O14594,"D2,4,4(S)3-NCAN [lysosomal lumen]",1,1
O14594,"D2,4,4(S)3-NCAN [extracellular region]",1,1
O14594,"D2,4,4(S)3-NCAN [Golgi lumen]",1,1
O14594,"D2,4(S)2-NCAN [lysosomal lumen]",1,1
O14594,"D2,4(S)2-NCAN [extracellular region]",1,1
O14594,"D2,4(S)2-NCAN [Golgi lumen]",1,1
O14594,CSE-NCAN [lysosomal lumen],1,1
O14594,CSE-NCAN [extracellular region],1,1
O14594,CSE-NCAN [Golgi lumen],1,1
O14594,C6S-NCAN [lysosomal lumen],1,1
O14594,C6S-NCAN [extracellular region],1,1
O14594,C6S-NCAN [Golgi lumen],1,1
O14594,C4S-NCAN [lysosomal lumen],1,1
O14594,C4S-NCAN [extracellular region],1,1
O14594,C4S-NCAN [Golgi lumen],1,1
O14613,p-CDC42EP2 [cytosol],1,1
O14618,CCS [mitochondrial intermembrane space],1,1
O14618,CCS [cytosol],1,1
O14640,ub-DVL1 [cytosol],1,1
O14640,pp-DVL1 [cytosol],1,1
O14640,p-S-DVL1 [cytosol],1,1
O14641,ub-DVL2 [cytosol],1,1
O14641,pp-DVL2 [cytosol],1,1
O14641,p-DVL2 [cytosol],1,1
O14641,p-DVL2 [clathrin-coated endocytic vesicle],1,1
O14654,p-Y-IRS4 [plasma membrane],1,1
O14678,ABCD4 Y319C [lysosomal membrane],2,2
O14733,"p-S271,T275-MAP2K7 [cytosol]",2,2
O14744,"p-Y297,304,307-PRMT5 [nucleoplasm]",3,1
O14757,"p-S317,S345-CHEK1 [nucleoplasm]",2,1
O14841,OPLAH V1089I [cytosol],2,2
O14841,OPLAH S323R [cytosol],2,2
O14904,N4GlycoAsn-WNT9A [endoplasmic reticulum lumen],1,1
O14904,N4GlycoAsn-PalmS WNT9A [plasma membrane],2,2
O14904,N4GlycoAsn-PalmS WNT9A [extracellular region],2,2
O14904,N4GlycoAsn-PalmS WNT9A [extracellular exosome],2,2
O14904,N4GlycoAsn-PalmS WNT9A [endoplasmic reticulum lumen],2,2
O14904,N4GlycoAsn-PalmS WNT9A [endocytic vesicle membrane],2,2
O14904,N4GlycoAsn-PalmS WNT9A [Golgi lumen],2,2
O14905,N4GlycoAsn-WNT9B [endoplasmic reticulum lumen],1,1
O14905,N4GlycoAsn-PalmS WNT9B [plasma membrane],2,2
O14905,N4GlycoAsn-PalmS WNT9B [extracellular region],2,2
O14905,N4GlycoAsn-PalmS WNT9B [extracellular exosome],2,2
O14905,N4GlycoAsn-PalmS WNT9B [endoplasmic reticulum lumen],2,2
O14905,N4GlycoAsn-PalmS WNT9B [endocytic vesicle membrane],2,2
O14905,N4GlycoAsn-PalmS WNT9B [Golgi lumen],2,2
O14920,"p-S177,S181-IKBKB [cytosol]",2,1
O14950,p-T19-MYL12B [cytosol],1,1
O14950,"p-T19,S20-MYL12B [cytosol]",2,2
O14965,p-T288-AURKA [nucleoplasm],1,1
O14965,p-T288-AURKA [cytosol],1,1
O14965,SUMO1-K258-AURKA [cytosol],1,1
O14965,PolyUb-AURKA [cytosol],1,1
O14974,p-T696-PPP1R12A [cytosol],1,1
O14974,"p-T696,S852-PPP1R12A [cytosol]",2,2
O14974,p-S473-PPP1R12A [nucleoplasm],1,1
O15055,p-S-PER2 [nucleoplasm],1,1
O15055,p-S-PER2 [cytosol],1,1
O15055,Ub-p-S-PER2 [cytosol],2,2
O15072,glc-fuc-ADAMTS3 [endoplasmic reticulum lumen],1,1
O15072,O-fuc-ADAMTS3 [endoplasmic reticulum lumen],1,1
O15111,p-T23-CHUK [cytosol],1,1
O15111,"p-S176,S180-IKKA [cytosol]",2,1
O15151,p-S403-MDM4 [nucleoplasm],1,1
O15151,"p-S346,S367,S403-MDM4 [nucleoplasm]",3,1
O15151,PolyUb-MDM4 [nucleoplasm],1,1
O15151,"PolyUb,p-S342,S367,S403-MDM4 [nucleoplasm]",4,2
O15164,p-TRIM24-BRAF fusion [cytosol],4,2
O15164,TRIM24-p-2Y-FGFR1 fusion [cytosol],2,1
O15164,TRIM24-BRAF fusion [cytosol],2,1
O15169,ub-AXIN1 [cytosol],1,1
O15169,"p-T519,S524,S531-AXIN1 [cytosol]",3,2
O15169,Ub-RibC-AXIN1 [cytosol],2,2
O15169,RibC-AXIN1 [cytosol],1,1
O15169,AXIN1 Y346* [cytosol],1,1
O15169,AXIN1 W247* [cytosol],1,1
O15169,AXIN1 P354L [cytosol],2,2
O15169,AXIN1 P255S [cytosol],2,2
O15169,AXIN1 L396M [cytosol],2,2
O15169,AXIN1 E406* [cytosol],1,1
O15197,"p-Y645,Y651-EPHB6 [plasma membrane]",2,1
O15198,"p-S465,S467-SMAD9 [nucleoplasm]",2,1
O15198,"p-S465,S467-SMAD9 [cytosol]",2,1
O15264,"p-T180,Y182-MAPK13 [cytosol]",2,2
O15270,PXLP-SPTLC2 [endoplasmic reticulum membrane],1,1
O15305,PMM2 T237R [cytosol],2,2
O15305,PMM2 R141H [cytosol],2,2
O15305,PMM2 G117R [cytosol],2,2
O15305,PMM2 D65Y [cytosol],2,2
O15305,PMM2 D188G [cytosol],2,2
O15382,PXLP-BCAT2 [mitochondrial matrix],1,1
O15455,TLR3 P554S [endosome membrane],2,2
O15455,TLR3 E746* [endosome membrane],1,1
O15488,polysaccharide-P-GYG2 [cytosol],1,1
O15488,"poly((1,4)-alpha-glucosyl)GYG2 [lysosomal lumen]",1,1
O15488,"poly((1,4)-alpha-glucosyl)GYG2 [cytosol]",1,1
O15488,"oligo((1,4)-alpha-glycosyl) GYG2 [cytosol]",1,1
O15488,limit dextrin-glycogenin-2 [cytosol],1,1
O15488,glycogen-GYG2 [cytosol],1,1
O15488,"((1,6)-alpha-glucosyl)poly((1,4)-alpha-glucosyl)GYG2 [lysosomal lumen]",1,1
O15488,"((1,6)-alpha-glucosyl)poly((1,4)-alpha-glucosyl)GYG2 [cytosol]",1,1
O15498,PalmC-YKT6 [transport vesicle],1,1
O15498,PalmC-YKT6 [endoplasmic reticulum-Golgi intermediate compartment membrane],1,1
O15498,PalmC-YKT6 [endoplasmic reticulum membrane],1,1
O15498,PalmC-YKT6 [Golgi membrane],1,1
O15498,PalmC-YKT6 [ER to Golgi transport vesicle membrane],1,1
O15516,p-S-CLOCK [nucleoplasm],1,1
O15528,CYP27B1 R389H [mitochondrial outer membrane],2,2
O15528,CYP27B1 R389G [mitochondrial outer membrane],2,2
O15528,CYP27B1 R335P [mitochondrial outer membrane],2,2
O15528,CYP27B1 R107H [mitochondrial outer membrane],2,2
O15528,CYP27B1 P382S [mitochondrial outer membrane],2,2
O15528,CYP27B1 L343F [mitochondrial outer membrane],2,2
O15528,CYP27B1 G125E [mitochondrial outer membrane],2,2
O15534,p-S-PER1 [nucleoplasm],1,1
O15534,p-S-PER1 [cytosol],1,1
O15534,Ub-p-S-PER1 [cytosol],2,2
O43157,p-Y-PLXNB1 [plasma membrane],1,1
O43187,p-IRAK2 [plasma membrane],1,1
O43187,p-IRAK2 [endosome membrane],1,1
O43187,p-IRAK2 [cytosol],1,1
O43252,p-PAPSS1-BRAF fusion [cytosol],4,2
O43252,PAPSS1-BRAF fusion [cytosol],2,1
O43280,N-seryl-glycosylphosphatidylinositolethanolamine-TREH [plasma membrane],1,1
O43303,PolyUb-CCP110 [cytosol],1,1
O43318,p-T187-MAP3K7 [plasma membrane],1,1
O43318,p-T187-MAP3K7 [cytosol],1,1
O43318,"p-T184,T187-MAP3K7 [endosome membrane]",2,1
O43318,"p-T184,T187-MAP3K7 [cytosol]",2,1
O43318,p-MAP3K7 [cytosol],1,1
O43318,PolyUb-MAP3K7 [cytosol],1,1
O43318,"K63polyUb-34,158-p-T178,184,187,S192-TAK1 [cytosol]",6,3
O43318,"K63polyUb-34,158-TAK1 [cytosol]",2,1
O43323,ub-N4glycoAsn-DHH(199-396) [endoplasmic reticulum lumen],2,2
O43323,ub-N4glycoAsn-DHH(199-396) [cytosol],2,2
O43323,N4glycoAsn-DHH(199-396) [endoplasmic reticulum lumen],1,1
O43323,N4glycoAsn-2xHC-DHH(23-396) [endoplasmic reticulum lumen],2,2
O43323,CHOL-N-palmitoyl-L-cysteine-DHH(23-198) [plasma membrane],2,2
O43323,CHOL-N-palmitoyl-L-cysteine-DHH(23-198) [extracellular region],2,2
O43323,CHOL-N-palmitoyl-L-cysteine-DHH(23-198) [endoplasmic reticulum lumen],2,2
O43323,CHOL-DHH(23-198) [endoplasmic reticulum lumen],1,1
O43323,2xHC-DHH(23-396) [endoplasmic reticulum lumen],1,1
O43353,Ub-209-RIPK2 [cytosol],1,1
O43511,SLC26A4 T416P [plasma membrane],2,2
O43511,SLC26A4 L236P [plasma membrane],2,2
O43511,SLC26A4 H723R [plasma membrane],2,2
O43511,SLC26A4 F667C [plasma membrane],2,2
O43511,SLC26A4 E384G [plasma membrane],2,2
O43521,p-S65-BCL2L11 [cytosol],1,1
O43521,p-BCL2L11-BRAF fusion [cytosol],4,2
O43521,p-BCL2L11 [mitochondrial outer membrane],1,1
O43521,p-BCL2L11 [cytosol],1,1
O43521,BCL2L11-BRAF fusion [cytosol],2,1
O43524,"p-T32,S253,S315-FOXO3 [nucleoplasm]",3,2
O43524,p-S215 FOXO3 [nucleoplasm],1,1
O43524,p-S215 FOXO3 [cytosol],1,1
O43559,p-5Y-FRS3 [plasma membrane],5,1
O43561,"p-Y200,Y220-LAT [plasma membrane]",2,1
O43561,p-5Y-LAT-2 [plasma membrane],5,1
O43561,p-5Y-LAT [plasma membrane],5,1
O43597,p-Y55-SPRY2 [plasma membrane],1,1
O43597,p-Y55-SPRY2 [cytosol],1,1
O43597,"p-Y55,Y227-SPRY2 [plasma membrane]",4,1
O43597,"p-S112,S121-SPRY2 [plasma membrane]",2,1
O43597,"p-S112,S115-SPRY2 [cytosol]",2,1
O43597,"p-S111,S120-SPRY2 [cytosol]",2,1
O43609,p-Y53-SPRY1 [cytosol],1,1
O43768,p-S67-ENSA [nucleoplasm],1,1
O43826,SLC37A4 G88D [endoplasmic reticulum membrane],2,2
O43826,SLC37A4 G20D [endoplasmic reticulum membrane],2,2
O43914,"p-Y91,Y102-TYROBP [plasma membrane]",2,1
O60216,p-S454-RAD21(451-631) [cytosol],1,1
O60216,"p-S454-RAD21(451-631) [chromosome, centromeric region]",1,1
O60216,p-S454-RAD21 [cytosol],1,1
O60216,p-S454-RAD21 [chromosome],1,1
O60216,"p-S454-RAD21 [chromosome, centromeric region]",1,1
O60216,SUMO1-K-RAD21 [nucleoplasm],1,1
O60220,4xHC-TIMM8A [mitochondrial intermembrane space],4,1
O60229,p-KALRN [cytosol],1,1
O60240,"p-S81,S277-PLIN1 [lipid particle]",2,1
O60260,polyUb-PARK2 [cytosol],1,1
O60285,p-T211-NUAK1 [nucleoplasm],1,1
O60343,"p-5S,T642-TBC1D4 [cytoplasmic vesicle membrane]",6,2
O60353,ub-FZD6 [plasma membrane],1,1
O60493,PolyUb-SNX3 [endosome membrane],1,1
O60494,CUBN P1297L [plasma membrane],2,2
O60500,"p-Y1158,Y1176,Y1193,Y1217-NPHS1-1 [plasma membrane]",4,1
O60674,p-Y813-JAK2 [cytosol],1,1
O60674,p-Y1007-JAK2 [cytosol],1,1
O60674,p-5Y-JAK2 [cytosol],5,1
O60674,JAK2 V617F [nucleoplasm],2,2
O60706,ABCC9 T1547I [plasma membrane],2,2
O60706,ABCC9 S1020P [plasma membrane],2,2
O60706,ABCC9 R1154W [plasma membrane],2,2
O60706,ABCC9 R1154Q [plasma membrane],2,2
O60706,ABCC9 R1116H [plasma membrane],2,2
O60706,ABCC9 H60Y [plasma membrane],2,2
O60706,ABCC9 C1043Y [plasma membrane],2,2
O60706,ABCC9 A1513T [plasma membrane],2,2
O60762,DPM1 R92G [endoplasmic reticulum membrane],2,2
O60814,Ub-HIST1H2BK [nucleoplasm],1,1
O60814,Ub-121-HIST1H2BK [nucleoplasm],1,1
O60814,AcK6-HIST1H2BK [nucleoplasm],1,1
O60814,AcK21-HIST1H2BK [nucleoplasm],1,1
O60814,AcK16-HIST1H2BK [nucleoplasm],1,1
O60814,AcK13-HIST1H2BK [nucleoplasm],1,1
O60814,AcK-HIST1H2BK [nucleoplasm],1,1
O60879,p-S196-DIAPH2-2 [cytosol],1,1
O60934,p-S343-NBN [nucleoplasm],1,1
O60938,N-glycan KERA [Golgi lumen],1,1
O60938,Keratan(4)-KERA [Golgi lumen],1,1
O60938,Keratan(3)-KERA [Golgi lumen],1,1
O60938,Keratan(2)-KERA [Golgi lumen],1,1
O60938,Keratan(1)-KERA [Golgi lumen],1,1
O60938,KS(2)-KERA [lysosomal lumen],1,1
O60938,KS(2)-KERA [extracellular region],1,1
O60938,KS(2)-KERA [Golgi lumen],1,1
O60938,KS(1)-KERA [Golgi lumen],1,1
O60938,KERA [lysosomal lumen],1,1
O60938,Gal-glycan KERA [Golgi lumen],1,1
O75030,"SUMO1-K289,423-MITF [nucleoplasm]",2,1
O75051,p-Y-PLXNA2 [plasma membrane],1,1
O75056,XylS-SDC3 [Golgi lumen],1,1
O75056,Heparan-SDC3 [Golgi lumen],1,1
O75056,Heparan(4)-SDC3 [Golgi lumen],1,1
O75056,Heparan(3)-SDC3 [Golgi lumen],1,1
O75056,Heparan(2)-SDC3 [Golgi lumen],1,1
O75056,Heparan(1)-SDC3 [Golgi lumen],1,1
O75056,HS(6)-SDC3 [plasma membrane],1,1
O75056,HS(6)-SDC3 [lysosomal lumen],1,1
O75056,HS(6)-SDC3 [Golgi lumen],1,1
O75056,HS(5)-SDC3 [plasma membrane],1,1
O75056,HS(5)-SDC3 [Golgi lumen],1,1
O75056,HS(4)-SDC3 [plasma membrane],1,1
O75056,HS(4)-SDC3 [Golgi lumen],1,1
O75056,HS(3)-SDC3 [plasma membrane],1,1
O75056,HS(3)-SDC3 [Golgi lumen],1,1
O75056,HS(2)-SDC3 [plasma membrane],1,1
O75056,HS(2)-SDC3 [Golgi lumen],1,1
O75056,HS(1)-SDC3 [plasma membrane],1,1
O75056,HS(1)-SDC3 [Golgi lumen],1,1
O75056,GlcA-Gal-Gal-Xyl-SDC3 [Golgi lumen],1,1
O75056,Gal-Xyl-SDC3 [Golgi lumen],1,1
O75056,Gal-Gal-Xyl-SDC3 [Golgi lumen],1,1
O75143,p-ATG13 [cytosol],1,1
O75164,K48PolyUb-KDM4A [nucleoplasm],1,1
O75173,glc-fuc-ADAMTS4 [endoplasmic reticulum lumen],1,1
O75173,O-fuc-ADAMTS4 [endoplasmic reticulum lumen],1,1
O75197,"p-5S,5T-LRP5 [plasma membrane]",2,2
O75197,"p-3S,2T-LRP5 [plasma membrane]",2,2
O75339,glc-fuc-CILP [extracellular region],1,1
O75352,MPDU1 M1T [endoplasmic reticulum membrane],2,2
O75352,MPDU1 L74S [endoplasmic reticulum membrane],2,2
O75352,MPDU1 L119P [endoplasmic reticulum membrane],2,2
O75352,MPDU1 G73E [endoplasmic reticulum membrane],2,2
O75385,"p-T180,S317,S467,S556,S638,T575-ULK1 [cytosol]",6,2
O75385,p-S758-ULK1 [cytosol],1,1
O75385,"p-S317,467,556,638,T575-ULK1 [cytosol]",5,2
O75460,p-S724-ERN1 [endoplasmic reticulum membrane],1,1
O75487,XylS-GPC4 [Golgi lumen],1,1
O75487,Heparan-GPC4 [Golgi lumen],1,1
O75487,Heparan(4)-GPC4 [Golgi lumen],1,1
O75487,Heparan(3)-GPC4 [Golgi lumen],1,1
O75487,Heparan(2)-GPC4 [Golgi lumen],1,1
O75487,Heparan(1)-GPC4 [Golgi lumen],1,1
O75487,HS(6)-GPC4 [plasma membrane],1,1
O75487,HS(6)-GPC4 [lysosomal lumen],1,1
O75487,HS(6)-GPC4 [Golgi lumen],1,1
O75487,HS(5)-GPC4 [plasma membrane],1,1
O75487,HS(5)-GPC4 [Golgi lumen],1,1
